date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:03	155758/155758	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/contact_files/bootstrap.css	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/bootstrap.css	(from )
20:48:03	88145/88145	--FM--	200	added ('OK')	application/x-javascript		file:///home/hari/Videos/contact_files/jquery.js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/jquery.js	(from )
20:48:03	21004/21004	--FM--	200	added ('OK')	application/x-javascript		file:///home/hari/Videos/contact_files/popper.js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/popper.js	(from )
20:48:03	58072/58072	--FM--	200	added ('OK')	application/x-javascript		file:///home/hari/Videos/contact_files/bootstrap.js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/bootstrap.js	(from )
20:48:04	71525/71525	--FM--	200	added ('OK')	image/png		file:///home/hari/Videos/contact_files/logo.png	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/logo.png	(from )
20:48:05	541535/541535	--FM--	200	added ('OK')	image/png		file:///home/hari/Music/no.png	/home/hari/websites/h9studio/file/home/hari/Music/no.png	(from )
20:48:10	3718382/3718382	--FM--	200	added ('OK')	image/jpeg		file:///home/hari/Downloads/wall4.jpg	/home/hari/websites/h9studio/file/home/hari/Downloads/wall4.jpg	(from )
20:48:11	46318/46318	--FM--	200	added ('OK')	image/jpeg		file:///home/hari/Downloads/Outstanding_Colorful_Background_3.jpg	/home/hari/websites/h9studio/file/home/hari/Downloads/Outstanding_Colorful_Background_3.jpg	(from )
20:48:11	71525/71525	--FM--	200	added ('OK')	image/png		file:///home/hari/Videos/logo.png	/home/hari/websites/h9studio/file/home/hari/Videos/logo.png	(from )
20:48:11	10939/10939	--FM--	200	added ('OK')	text/css		file:///home/hari/Videos/contact_files/embed_data/css.css	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/embed_data/css.css	(from )
20:48:12	78038/78038	--FM--	200	added ('OK')	application/x-javascript		file:///home/hari/Videos/contact_files/embed_data/common.js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/embed_data/common.js	(from )
20:48:12	146414/146414	--FM--	200	added ('OK')	application/x-javascript		file:///home/hari/Videos/contact_files/embed_data/util.js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/embed_data/util.js	(from )
20:48:12	2519/2519	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/signup.html	/home/hari/websites/h9studio/file/home/hari/Videos/signup.html	(from )
20:48:12	42511/42511	--FM--	200	added ('OK')	application/x-javascript		file:///home/hari/Videos/contact_files/embed_data/map.js	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/embed_data/map.js	(from )
20:48:13	1640/1640	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Wed,%2015%20Jan%202020%2015:18:12%20GMT	https://maps.gstatic.com/mapfiles/embed/images/entity11.png	/home/hari/websites/h9studio/maps.gstatic.com/mapfiles/embed/images/entity11.png	(from )
